k,silhouette,davies_bouldin,calinski_harabasz,inertia
2,0.37596570048166633,1.188558071901896,2723.3710207020417,29355.40631108848
3,0.2653513208312659,1.363758950705855,2360.6056010754687,23318.888708615534
4,0.2885470614914292,1.200046778258996,2333.4565213242404,18886.755653563585
5,0.27150546907993284,1.2535471216255964,2157.6109143084923,16625.33517178791
6,0.2680294717826598,1.349983677994228,2002.6390850876662,15091.547267997394
7,0.2664977495138918,1.3245192224639446,1924.0684365581953,13692.634844460565
8,0.2560463638005221,1.324434778379743,1815.275216612268,12791.251611204592
9,0.2538698101553815,1.3011810293269752,1726.6304025105442,12037.078628868248
10,0.25616218594538676,1.2746595025118546,1655.7347816505328,11376.673958190275
